name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
Community College Of Philadelphia,2.9508195,29.672131,24.836065,2.4590163,4.3442621,9.0983601,25.819672,0.81967217,30700.0
Community College Of Rhode Island,10.202551,19.429857,27.15679,1.9504876,7.2018003,11.47787,22.580645,0.0,29100.0
Concord University,10.795454,25.0,0.0,6.534091,34.943184,9.659091,13.068182,0.0,32900.0
Concorde Career College,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29200.0
Concordia College - Moorhead,17.080746,17.391304,6.9875774,13.043478,40.683231,2.9503105,1.8633541,0.0,41200.0
Concordia University - Saint Paul,6.7285385,45.475639,0.0,1.8561485,35.266823,5.8004642,4.8723898,0.0,45300.0
Concordia University - Wisconsin,1.9047619,53.714287,17.523809,0.0,11.619047,12.0,3.2380953,0.0,40700.0
Concordia University Texas,1.9607843,47.058823,0.0,3.9215686,39.215687,0.0,7.8431373,0.0,41000.0
"Concordia University of Irvine, CA",4.0,22.285715,6.2857141,13.714285,33.714287,13.142858,6.8571429,0.0,42100.0
"Concordia University of Portland, OR",1.2195122,43.495934,4.4715447,4.4715447,28.04878,8.5365849,9.7560978,0.0,41800.0
"Concordia University of River Forest, IL",3.5971224,23.381294,11.870503,5.3956833,41.366909,11.510792,2.8776979,0.0,41500.0
"Concordia University of Seward, NE",7.3684216,20.0,0.0,6.3157897,54.210526,6.3157897,5.7894735,0.0,36600.0
Connecticut College,17.889908,0.0,0.0,33.027523,46.100918,0.0,2.9816513,0.0,51000.0
Connors State College,17.529881,17.529881,24.30279,0.39840639,35.059761,3.1872511,1.5936255,0.39840639,29800.0
Conservatory Of Recording Arts & Sciences,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32600.0
Contra Costa Community College District,6.620862,10.181137,12.99188,1.6239851,2.3110557,2.8107433,55.965023,7.4953156,35554.609
Converse College,9.090909,13.333333,2.4242425,29.090908,46.060608,0.0,0.0,0.0,33400.0
